"partialQEP";"impliedPartialQEPs"
"1518";"3295, 1975, 21, 729, 3297, 140, 1022, 768, 1081, 1049, 4145, 3139, 235, 1019"
"1177";"1103, 1016, 1028"
"4443";"3152, 90, 13"
"3725";"90, 13"
"65";"64, 66, 18, 67"
"2272";"134, 13"
"4479";"456, 457, 81"
"1931";"207, 199"
"2586";"2453, 134, 13"
"4138";"167, 18"
"1590";"281, 13"
"1249";"134, 13"
"3797";"209, 210"
"3456";"216, 217"
"3770";"2790, 90, 13"
"1285";"806, 18"
"4210";"4027, 134, 13"
"1599";""
"4524";"207, 199"
"3806";"189, 87"
"1258";"281, 13, 3559, 1531"
"917";"39"
"2810";"806, 18"
"3465";"4349, 134, 13"
"2469";"90, 13"
"3124";"207, 199"
"2783";"3776, 281, 13"
"4219";"2927, 281, 13"
"1671";"4166, 134, 13"
"4533";"3117, 90, 13"
"3878";"134, 13"
"612";"540"
"4192";"167, 18"
"3537";"1102, 1105, 159"
"2819";"172, 175"
"271";"52"
"3474";"90, 13"
"3133";"605, 448"
"2478";"2947, 134, 13"
"2137";"1955, 134, 13"
"2792";"167, 18"
"2451";"13, 281, 1332, 2457, 3974"
"3573";"209, 210"
"3887";"4471, 1890"
"3232";"18, 3197, 3072, 795"
"3546";"512, 505"
"280";"159"
"2891";"4564, 13, 3476, 281, 3598"
"3205";"281, 1526, 13, 3923"
"1832";"281, 13"
"2487";"4296, 134, 13"
"2146";"2077, 3069, 13, 281, 1267"
"2801";"2670, 90, 13"
"2460";"216, 217"
"1034";"1017, 757"
"3241";"209, 210"
"3555";"4256, 281, 13"
"2900";"2606, 536, 13"
"2559";"167, 18"
"3214";"4459, 90, 13"
"2218";"90, 13"
"1500";"3162, 134, 13"
"4425";"4058, 90, 13"
"1814";"4089, 536, 13"
"5";"6"
"319";""
"2526";"172, 175"
"2185";"90, 13"
"1530";"216, 217"
"1844";"167, 18"
"1189";"620, 448"
"4051";"2939, 134, 13"
"1503";"2103, 1787"
"3710";"281, 13"
"1539";"536, 13"
"4464";"1991, 134, 13"
"1853";"281, 13, 3889, 4403"
"1198";"90, 13"
"857";"81, 850, 859, 522"
"1512";""
"1171";"508"
"516";""
"830";""
"2723";"4475, 134, 13"
"3037";"2470, 18, 1472, 817"
"1611";"821, 832"
"4473";"4165, 90, 13"
"1925";"515, 18"
"552";""
"1521";"172, 175"
"4132";"134, 13"
"866";"901, 99, 81"
"1584";"3502, 1183, 21, 729, 140, 1022, 768, 1081, 1049, 235, 2930, 3892, 3464, 1019"
"1180";"1136, 18"
"3791";"172, 175"
"525";"381"
"3073";"2571, 134, 13"
"184";"88"
"2732";"134, 13"
"2391";"558, 557, 94"
"3827";"167, 18"
"1279";"2490, 90, 13"
"938";"751, 748"
"3486";"1943, 134, 13"
"3800";"4201, 90, 13"
"534";"532, 535"
"3145";"1874, 90, 13"
"597";"594, 306"
"193";"194"
"2741";"207, 199"
"2804";"3931, 134, 13"
"3459";"134, 13"
"2400";"90, 13"
"1288";"207, 199"
"947";"944, 982, 1008, 952"
"3495";"167, 18"
"606";""
"3154";"172, 175"
"2158";"90, 13"
"2813";"90, 13"
"265";"153, 140"
"2472";"216, 217"
"1817";"821, 832"
"1754";"13, 281, 3773, 1557, 3369"
"4679";"90, 13"
"301";"302, 160, 159, 303, 299, 300"
"615";"627"
"2508";"209, 210"
"2167";"18, 2196, 795, 3958"
"2822";"134, 13"
"1826";"216, 217"
"2481";"728, 738, 94"
"2140";"207, 199"
"1485";"658, 663, 94"
"1799";"216, 217"
"4347";"1261, 281, 13"
"4006";"2301, 90, 13"
"1835";"717, 718, 94"
"2553";"90, 13"
"2149";"3927, 13, 281, 1282, 4319"
"1494";"172, 175"
"1153";"1127, 789, 1109, 1067, 1047, 1178, 1121, 1111, 1066, 1166, 744, 1140, 1108, 1148, 1056, 1129, 1037"
"1808";"510, 435"
"3701";"172, 175"
"812";"99, 81"
"3360";"209, 210"
"2248";"18, 3858, 2107, 515"
"4455";"90, 13"
"1907";"90, 13"
"2562";"189, 87"
"4114";"90, 13"
"1566";"172, 175"
"848";""
"4428";"2070, 134, 13"
"1162";"1158"
"3773";"281, 13"
"4087";"134, 13"
"821";"832"
"3369";"3773, 281, 13, 1557"
"480";"354"
"3028";"13, 3147, 281, 3080, 3625"
"1916";"4196, 134, 13"
"4123";"189, 87"
"1575";"573, 562, 94"
"3782";"1409, 134, 13"
"1234";"167, 18"
"893";"879, 235"
"175";""
"3441";"2336, 3094, 13, 281, 2707"
"3755";"134, 13"
"3100";"189, 87"
"3414";"134, 13"
"1243";"3995, 3954, 13, 281, 2594"
"3136";"281, 13"
"2795";"3861, 134, 13"
"3450";"167, 18"
"3109";"167, 18"
"2454";"978, 999, 94"
"2113";"134, 13"
"2768";"2257, 1076"
"2427";"172, 175"
"4634";"207, 199"
"256";"251, 252, 255, 253"
"3522";"1767, 90, 13"
"2463";"216, 217"
"3118";"281, 13"
"3181";"172, 175"
"2122";"172, 175"
"2777";"281, 3319, 13, 2119"
"2436";"209, 210"
"4329";"207, 199"
"1781";"717, 718, 94"
"3988";"209, 210"
"1440";"209, 210"
"4302";"216, 217"
"2876";"90, 13"
"3190";"209, 210"
"2131";"3299, 3592"
"2849";"90, 13"
"1790";"2190, 515, 18"
"4401";"4001, 134, 13"
"4338";"4030, 3831, 4513, 13, 281"
"3997";"134, 13"
"1449";"858, 524"
"974";"967"
"2885";"510, 435"
"2544";"2250, 3898, 2841, 13, 281"
"2203";"209, 210"
"1862";"3580, 381"
"4410";"209, 210"
"1144";"1104, 628"
"4724";"1587, 134, 13"
"4069";"90, 13"
"803";"777, 807, 785"
"1458";"515, 18"
"1117";""
"4383";"2990, 134, 13"
"3665";"189, 87"
"2212";"207, 199"
"4419";"1016, 1028"
"1871";"90, 13"
"3764";"2373, 90, 13"
"4078";"4616, 90, 13"
"3423";"512, 505"
"337";"345, 78"
"3737";"134, 13"
"3082";"172, 175"
"3396";"216, 217"
"4150";"216, 217"
"3432";"2653, 90, 13"
"3746";"209, 210"
"3091";"172, 175"
"2750";"207, 199"
"3405";"2496, 90, 13"
"2409";"281, 13"
"3064";"134, 13"
"4159";"573, 562, 94"
"3818";"209, 210"
"2759";"216, 217"
"3477";"4485, 134, 13"
"2418";"1753, 134, 13"
"4625";"90, 13"
"2077";"281, 13"
"3513";"4624, 2704, 3330, 235"
"3172";"134, 13"
"2831";"90, 13"
"4697";"90, 13"
"2086";"2788, 90, 13"
"1270";"3497, 659"
"211";"212"
"2840";"189, 87"
"2499";"605, 448"
"4392";"658, 663, 94"
"4706";"1863, 90, 13"
"965";""
"4365";"216, 217"
"4024";"167, 18"
"624";"609, 33"
"283";"160"
"4715";"1119, 1114, 94"
"4060";"3879, 281, 13"
"4374";"1547, 90, 13"
"3719";"3084, 90, 13"
"4033";""
"633";""
"3378";"90, 13"
"292";"287"
"3692";"209, 210"
"4446";"281, 13"
"3728";"2794, 13, 281, 3416, 4431"
"4042";"4225, 90, 13"
"3387";"3508, 134, 13"
"3046";"605, 448"
"4141";"4632, 90, 13"
"3055";"1562, 134, 13"
"2714";"90, 13"
"2239";"2185, 90, 13"
"839";"854, 258"
"498";""
"3809";"3434, 1370, 13, 281, 3970"
"3468";"167, 18"
"3127";"1492, 134, 13"
"1593";"172, 175"
"1252";"536, 13"
"507";"395, 237"
"166";"165, 53"
"4688";"280, 160, 4416, 159, 3480, 4727, 283"
"1602";"134, 13"
"4661";"1396, 134, 13"
"1261";"281, 13"
"920";"871"
"4320";"1270, 3497, 659"
"579";"7"
"2786";"4308, 134, 13"
"4356";"281, 4717, 13, 1452"
"4670";"172, 175"
"4015";"90, 13"
"929";""
"3674";"515, 18"
"274";"243"
"588";"231"
"247";"249, 246, 244"
"3683";"134, 13"
"2867";"3854, 134, 13"
"1467";"1285, 806, 18"
"1126";"1139, 628"
"4437";"2856, 281, 13"
"4096";"1451, 18, 2319, 795"
"14";"13"
"3351";"216, 217"
"328";"327"
"2221";"134, 13"
"1880";"172, 175"
"2535";"134, 13"
"2194";"2210, 90, 13"
"1476";"3744, 90, 13"
"1135";"1126, 1139, 628"
"4105";"90, 13"
"2230";"172, 175"
"1889";"3399, 90, 13"
"1548";"90, 13"
"1207";"843, 837, 94"
"489";"490"
"1898";"90, 13"
"4643";"4488, 134, 13"
"1557";"3773, 281, 13"
"902";"709, 659"
"1216";"90, 13"
"561";"567"
"220";""
"875";""
"4652";"834, 825, 94"
"911";"891, 906"
"4311";"1644, 13, 281, 2960, 4472"
"3836";"216, 217"
"570";"392"
"1225";"167, 18"
"884";"140"
"229";"230"
"543";""
"202";"99, 81, 204, 200"
"2095";"134, 13"
"642";""
"956";"81"
"3504";"172, 175"
"238";""
"2445";"2627, 90, 13"
"3163";"172, 175"
"2104";"2229, 1117"
"1763";"207, 199"
"651";"638, 650, 647, 648, 516, 643"
"3199";"529, 531, 94"
"310";""
"2858";"1208, 258"
"2517";"209, 210"
"2176";"172, 175"
"1772";"4200, 789"
"2490";"90, 13"
"4018";"1907, 90, 13"
"3363";"888, 886, 94"
"277";"261, 39"
"1461";"2996, 13, 1906, 281, 3953"
"3372";"18, 2816, 4247, 515"
"3031";"90, 13"
"2690";"207, 199"
"2349";"134, 13"
"815";"528"
"474";"478, 477, 469, 440"
"4592";"882, 572"
"2699";"605, 448"
"4251";"13, 2634, 281, 2738, 1553"
"4565";"90, 13"
"1165";"1141, 628"
"1228";"281, 13"
"824";"849"
"483";""
"142";"138, 141, 13, 144, 143, 139, 51"
"3453";"172, 175"
"4637";"1327, 2574, 3254, 13, 281"
"896";"867"
"492";""
"1210";"18, 2101, 2169, 515"
"151";""
"4673";"510, 435"
"4646";"189, 87"
"905";"875"
"250";"18"
"4305";"2497, 90, 13"
"564";""
"223";""
"2771";"189, 87"
"2430";"90, 13"
"4000";"4183, 90, 13"
"259";""
"3659";"3649, 4367, 140, 775"
"573";"562, 94"
"232";"233"
"1443";"2870, 90, 13"
"1757";"172, 175"
"3327";"573, 562, 94"
"1793";"90, 13"
"1452";"4717, 281, 13"
"1111";"1127, 789, 1109, 1067, 1121, 1066, 1166, 744, 1140, 1108, 1129"
"770";"771, 571, 508"
"1865";"3651, 134, 13"
"2179";"207, 199"
"1524";"529, 531, 94"
"1838";""
"1120";""
"124";"125, 86"
"779";"39"
"438";"19"
"1533";"90, 13"
"878";"893, 21, 729, 879, 768, 235"
"537";""
"1192";"207, 199"
"1506";"189, 87"
"133";""
"851";"159"
"3399";"90, 13"
"447";""
"3058";"189, 87"
"106";"110, 105, 103, 108, 80, 79, 100"
"4628";"90, 13"
"1542";"13, 2915, 281, 2326, 4009"
"887";"508"
"546";"545"
"1201";"4105, 90, 13"
"860";"851, 159"
"205";"206, 95"
"519";""
"3067";"1518, 3295, 1975, 21, 729, 3297, 140, 1022, 768, 1081, 1049, 4145, 3139, 235, 1019"
"2726";"2966, 90, 13"
"4296";"134, 13"
"3955";"207, 199"
"555";"574, 569, 306"
"214";"168"
"869";"903"
"528";""
"2421";"3153, 515, 18"
"2080";"4413, 134, 13"
"1739";"189, 87"
"2493";""
"2807";"4204, 134, 13"
"2089";"172, 175"
"1748";"281, 2693, 13, 4395"
"1407";"189, 87"
"752";"756"
"1066";"1067"
"2502";"281, 13"
"2161";"1783, 21, 729, 4081, 3823, 235"
"1820";"743, 740, 94"
"1102";"1105, 159"
"2475";"3390, 3567, 4036"
"2134";"134, 13"
"4027";"134, 13"
"1416";"4655, 134, 13"
"761";"767, 39"
"1075";"421"
"420";"422, 227"
"1856";"653, 673, 94"
"2170";"558, 557, 94"
"1515";"209, 210"
"1174";"1098, 159"
"1829";"134, 13"
"4036";""
"833";"862, 501"
"1488";"172, 175"
"429";"52"
"3695";"3013, 134, 13"
"1147";"1069"
"743";"740, 94"
"3354";"281, 13, 1460, 1358"
"1183";"21, 729, 1022, 768, 1081, 1049, 235"
"1497";"18, 2324, 2749, 515"
"842";"501"
"1156";"1123, 757"
"501";""
"3049";"515, 18"
"160";""
"2708";"207, 199"
"3022";"90, 13"
"2367";"207, 199"
"2681";"90, 13"
"3462";"3172, 134, 13"
"3776";"281, 13"
"510";"435"
"3121";"653, 673, 94"
"169";"170, 116"
"2717";"207, 199"
"3435";"172, 175"
"2376";"4132, 134, 13"
"2035";"134, 13"
"1380";"1925, 515, 18"
"1694";"4233, 281, 13, 3264"
"582";"306"
"3130";"90, 13"
"178";"177, 53, 176, 179"
"3444";"172, 175"
"2789";"90, 13"
"2385";"3334, 90, 13"
"2448";"216, 217"
"3103";"653, 673, 94"
"1730";"189, 87"
"4655";"134, 13"
"2044";"3705, 18, 817, 3682"
"1389";"1220, 90, 13"
"1703";"4520, 515, 18"
"591";"306"
"2484";"841, 829, 94"
"3139";"21, 729, 1022, 768, 1081, 1049, 235"
"2143";"134, 13"
"2798";"3559, 13, 281, 1258, 1531"
"1802";"2449, 134, 13"
"2457";"1332, 281, 13"
"4664";"167, 18"
"2116";"2095, 134, 13"
"1398";"2158, 90, 13"
"1712";"3671, 306"
"4323";"2545, 134, 13"
"1057";"1046, 524"
"2152";"3707, 281, 13, 4448"
"1811";"1899, 90, 13"
"2466";"2567, 90, 13"
"2125";"216, 217"
"1470";"281, 2157, 13, 1779"
"4332";"216, 217"
"1784";""
"1129";"1140, 744"
"3677";"2837, 90, 13"
"3991";"172, 175"
"3336";"207, 199"
"3650";"134, 13"
"4090";"90, 13"
"1479";"4208, 134, 13"
"4404";"189, 87"
"3686";"1945, 281, 13, 2138"
"1138";"1162, 1158"
"797";"737, 52"
"3345";"728, 738, 94"
"456";"457, 81"
"3004";"1666, 90, 13"
"2663";"207, 199"
"3318";"209, 210"
"2977";"306"
"4099";"843, 837, 94"
"1551";"3459, 134, 13"
"4413";"134, 13"
"3758";"1285, 18, 806, 1467"
"4072";""
"806";"18"
"3417";"207, 199"
"3731";"1783, 21, 729, 4081, 2161, 3823, 235, 1642"
"465";"168"
"3013";"134, 13"
"2358";"3828, 134, 13"
"2017";"3729, 90, 13"
"2672";"3882, 90, 13"
"2331";"3328, 817, 18"
"3767";"90, 13"
"1219";"167, 18"
"3112";"172, 175"
"4081";"729, 21"
"3426";"90, 13"
"3740";"3310, 90, 13"
"3085";"207, 199"
"2026";"512, 505"
"2744";"1937, 817, 18"
"2340";"529, 531, 94"
"2780";"172, 175"
"2439";"13, 281, 4517, 2279, 3424"
"3094";"2707, 281, 13"
"2098";"134, 13"
"2753";"3644, 90, 13"
"2412";"2831, 90, 13"
"4619";"3760, 90, 13"
"3964";"134, 13"
"2071";"2225, 806, 18"
"4278";"1897, 4710, 94"
"4718";"18, 4520, 1703, 515"
"2107";"3858, 515, 18"
"2762";"893, 878, 21, 729, 879, 884, 2793, 2894, 140, 768, 235"
"2825";"172, 175"
"1766";"3178, 134, 13"
"4314";"90, 13"
"3973";"605, 448"
"1425";"2343, 3204, 257"
"1084";"94"
"4287";"134, 13"
"3632";"4236, 134, 13"
"3946";"1146, 1134, 94"
"3291";"209, 210"
"4727";"280, 159"
"4386";""
"1775";"1102, 1105, 159"
"4700";"2928, 90, 13"
"4045";"2541, 13, 281, 2022, 4158"
"3982";"189, 87"
"1434";"281, 13"
"1093";"1144, 1104, 628"
"3641";"216, 217"
"2986";"3883, 90, 13"
"3300";"4545, 134, 13"
"2188";"207, 199"
"4395";"281, 13"
"1847";"167, 18"
"4709";"1119, 1114, 94"
"4054";"90, 13"
"788";"809, 33, 805, 793"
"4368";"172, 175"
"3713";"1304, 134, 13"
"2995";"2124, 134, 13"
"2654";"3200, 90, 13"
"3309";"134, 13"
"2968";"510, 435"
"3749";"90, 13"
"4063";"1354, 90, 13"
"3408";"2590, 3418, 13, 281, 1421"
"3722";"4212, 134, 13"
"115";"101, 104"
"3381";"1523, 134, 13"
"3040";"4450, 3530, 21, 729, 2547, 2016, 4328, 140, 1022, 768, 1081, 1049, 235, 4146, 2159, 1019"
"3076";"134, 13"
"2735";"216, 217"
"3390";"3567, 4036"
"2394";"281, 13"
"4601";"281, 13, 4324, 3019"
"2053";"216, 217"
"4260";"90, 13"
"4574";"167, 18"
"2403";"4725, 528"
"4610";"2846, 90, 13"
"2062";"281, 13"
"4269";"1833, 134, 13"
"3614";"2910, 90, 13"
"1721";"13, 281, 4060, 2471, 3879"
"4583";"209, 210"
"3928";"189, 87"
"187";"188, 185"
"4242";"3582, 90, 13"
"2816";"515, 18"
"4682";"90, 13"
"4341";"90, 13"
"3623";"90, 13"
"3937";"207, 199"
"196";"195"
"914";""
"4377";"3170, 90, 13"
"4691";"134, 13"
"4350";"3469, 90, 13"
"4009";"281, 13, 2326, 2915"
"268";"235"
"3668";"512, 505"
"3605";"4322, 90, 13"
"241";"240, 242"
"4359";"1469, 3167, 893, 878, 21, 729, 879, 884, 140, 768, 235, 1532"
"3704";"207, 199"
"369";""
"3635";"1361, 13, 281, 3411, 2881"
"2980";"172, 175"
"2639";"2570, 536, 13"
"3294";"216, 217"
"1123";"757"
"782";"556"
"3330";"4624, 2704, 235"
"3393";"742, 732, 94"
"441";""
"2989";"2888, 90, 13"
"2334";"189, 87"
"2648";"216, 217"
"3303";"209, 210"
"2962";"90, 13"
"2307";"216, 217"
"4514";"18, 2225, 2071, 806"
"3402";"134, 13"
"3716";"510, 435"
"2343";"3204, 257"
"3061";"893, 878, 21, 729, 879, 768, 235"
"2002";"90, 13"
"2657";"172, 175"
"2316";"510, 435"
"1661";"167, 18"
"4523";"90, 13"
"1975";"3295, 21, 729, 3297, 140, 1022, 768, 1081, 1049, 4145, 3139, 235, 1019"
"1320";"189, 87"
"4182";"90, 13"
"1634";"134, 13"
"3070";"1324, 134, 13"
"2729";"172, 175"
"1670";"216, 217"
"2388";"134, 13"
"4595";"90, 13"
"3877";"189, 87"
"1984";"172, 175"
"1329";"1577, 134, 13"
"2424";"4288, 237"
"2083";"4446, 281, 13"
"2738";"1553, 281, 13"
"4290";"90, 13"
"4604";"216, 217"
"3949";"172, 175"
"4263";"209, 210"
"997";""
"3608";"172, 175"
"3922";"1117"
"181";"39"
"1751";"1222, 1067, 3409, 1066, 744"
"4676";"209, 210"
"3958";"795, 18"
"1410";"216, 217"
"4272";"134, 13"
"1069";""
"3617";"167, 18"
"3931";"134, 13"
"3276";"216, 217"
"3590";"456, 457, 81"
"2935";"658, 663, 94"
"4030";"4513, 281, 13"
"4344";"4578, 90, 13"
"3689";"3281, 2061, 13, 281, 3929"
"2971";"209, 210"
"2630";"167, 18"
"3285";"90, 13"
"2944";"3977, 3134, 140, 3815"
"2603";"40"
"4039";"207, 199"
"3698";"172, 175"
"3357";"510, 435"
"2953";"90, 13"
"3016";"558, 557, 94"
"2298";"2710, 90, 13"
"4505";"172, 175"
"1957";"1456, 817, 18"
"2612";"189, 87"
"3707";"281, 13"
"3366";"3966"
"3025";"3320, 41, 40"
"4577";"134, 13"
"1966";"134, 13"
"1491";"13, 4448, 3707, 281, 2152"
"4236";"134, 13"
"1150";"1016, 1177, 1103, 1028"
"809";"33"
"2720";"13, 281, 3786, 4020, 4555"
"2379";"1829, 134, 13"
"4586";"1806, 281, 13"
"4245";"3470, 134, 13"
"4559";"4656, 90, 13"
"3904";"167, 18"
"163";"164, 162, 161"
"4218";"216, 217"
"477";"440"
"4658";"4104, 515, 18"
"3940";"90, 13"
"2047";"2172, 1953"
"4254";"90, 13"
"3599";"2521, 90, 13"
"513";""
"3913";"1964, 134, 13"
"172";"175"
"3572";"3271, 90, 13"
"3231";"1195, 524"
"4667";"558, 557, 94"
"4326";"4170, 281, 13"
"3985";"1122, 7"
"3267";"134, 13"
"3581";"207, 199"
"2926";"189, 87"
"3240";"134, 13"
"4335";"134, 13"
"3994";"90, 13"
"3653";"189, 87"
"2594";"281, 13"
"2119";"281, 13"
"1778";"658, 663, 94"
"3348";"172, 175"
"4532";"281, 3880, 13, 3710"
"1787";""
"1446";"134, 13"
"387";"393"
"1105";"159"
"46";"33"
"2675";"134, 13"
"4541";"4233, 13, 281, 1694, 3264"
"1141";"628"
"800";"780, 306"
"4200";"789"
"459";"354"
"118";""
"432";"33"
"4613";"216, 217"
"4550";"1893, 134, 13"
"3895";"2671, 1260, 13, 281, 2992"
"4209";"3857, 90, 13"
"468";"320"
"3868";"456, 457, 81"
"127";"132, 128, 130, 126, 131"
"1993";"2423, 134, 13"
"1652";"2218, 90, 13"
"4622";"172, 175"
"4281";"134, 13"
"3563";"3697, 90, 13"
"199";""
"854";"258"
"136";"51"
"2747";"4153, 134, 13"
"2406";"4455, 90, 13"
"4631";"450, 18"
"2756";"207, 199"
"208";"95"
"2415";"90, 13"
"2074";"1758, 90, 13"
"1015";"866, 901, 81, 1070, 99"
"3644";"90, 13"
"217";""
"1769";"3674, 515, 18"
"1428";"189, 87"
"1087";"1041, 1055, 602, 1074, 601, 1029, 1062, 1077, 1045, 1065"
"1742";"605, 448"
"683";"689, 33"
"1401";"828, 836, 94"
"1437";"90, 13"
"1096";"1147, 1069"
"755";"446"
"100";"110, 105, 103, 108, 80, 79"
"414";"309"
"728";"738, 94"
"2621";"2197, 1275"
"4191";"216, 217"
"1168";"153, 1095, 140, 1161, 1133"
"450";"18"
"1482";"3035, 90, 13"
"764";"628"
"109";"78"
"3375";"167, 18"
"423";""
"82";"84, 83, 68"
"2289";"172, 175"
"522";"81"
"836";"94"
"3384";"4327, 281, 13"
"495";""
"3043";"2221, 134, 13"
"91";"92, 93"
"2702";"134, 13"
"1643";"167, 18"
"531";"94"
"845";"830"
"190";"191"
"2397";"3359, 90, 13"
"3052";"172, 175"
"504";"411, 237"
"2056";"3309, 134, 13"
"2711";"90, 13"
"1715";"209, 210"
"2370";"1290, 90, 13"
"2029";"1352, 90, 13"
"2065";"510, 435"
"1724";"510, 435"
"2038";"207, 199"
"1383";"2318, 90, 13"
"1697";"209, 210"
"1042";"524"
"3249";"134, 13"
"1078";"524"
"1796";"3863, 1222, 789, 1067, 1047, 1751, 1772, 3409, 3079, 2489, 1066, 4200, 744, 1056, 2668, 1037"
"1733";"209, 210"
"4003";"2066, 281, 13, 2964"
"1392";"209, 210"
"737";"52"
"396";""
"1051";"1033, 1044"
"55";"57"
"3258";"216, 217"
"710";""
"2917";"281, 13"
"4353";"90, 13"
"1805";"834, 825, 94"
"1464";"4562, 90, 13"
"746";"739, 731"
"4012";"172, 175"
"3671";"306"
"1060";"258"
"405";"406, 407"
"719";"723, 713, 722"
"64";"18"
"378";"99, 81"
"2271";"134, 13"
"1159";"1127, 789, 1109, 1153, 1067, 1047, 1178, 1121, 1111, 1066, 1166, 744, 1140, 1108, 1148, 1056, 1129, 1037"
"1473";"1216, 90, 13"
"4021";"189, 87"
"818";"856"
"3680";"134, 13"
"1132";""
"791";"776, 786, 140"
"73";"74"
"2684";"167, 18"
"3339";"2228, 281, 13"
"2280";"821, 832"
"2998";"1372, 281, 13"
"827";"744"
"486";"485"
"3034";"1735, 281, 2211, 13"
"145";""
"2693";"4395, 281, 13"
"2352";"18, 515, 2278, 2314"
"3007";"209, 210"
"2011";"573, 562, 94"
"2666";"172, 175"
"2325";"209, 210"
"154";""
"2765";"1688, 18, 806, 2245"
"1706";"1395, 281, 13"
"2361";"456, 457, 81"
"3079";"1222, 789, 1067, 1751, 1772, 3409, 1066, 4200, 744, 2668"
"4568";"281, 13"
"2020";"4576, 13, 281, 1537, 1550"
"1365";"90, 13"
"1679";"4079, 134, 13"
"4227";"3445, 134, 13"
"1024";"789"
"3886";"536, 13"
"1338";"1713, 90, 13"
"3545";"167, 18"
"2433";"281, 13"
"4640";"3769, 134, 13"
"2092";"172, 175"
"1374";"4493, 515, 18"
"4299";"281, 13"
"1033";"1044"
"1688";"806, 18"
"692";"680, 501"
"1347";"2430, 90, 13"
"1006";"941, 766"
"3554";"207, 199"
"2128";"3555, 281, 4256, 13"
"2442";"167, 18"
"2101";"515, 18"
"4649";"189, 87"
"4308";"134, 13"
"1760";"207, 199"
"3967";"281, 13"
"701";""
"1419";"2078, 134, 13"
"1356";"2134, 134, 13"
"3312";"1692, 90, 13"
"3626";"558, 557, 94"
"360";"372"
"2908";"653, 673, 94"
"2110";"1328, 4156, 4386"
"1455";"3921, 524"
"4317";"1198, 90, 13"
"3662";"2744, 18, 817, 1937"
"1114";"94"
"773";""
"3976";"1330, 134, 13"
"3321";"207, 199"
"4481";"189, 87"
"1081";"21, 729, 1022, 768, 1049, 235"
"426";"319"
"740";"94"
"85";""
"3288";"172, 175"
"399";"396"
"2947";"134, 13"
"58";"55, 57"
"2606";"536, 13"
"2265";"4441, 281, 13, 2920"
"94";""
"408";"407, 409, 406, 405"
"3019";"281, 13"
"67";"66, 64, 18"
"2274";"736, 745, 94"
"1933";"4521, 90, 13"
"1278";"3556, 90, 13"
"1592";"529, 531, 94"
"139";"138, 13"
"2687";"209, 210"
"2032";"2432, 2826, 13, 281, 4186"
"1628";"2976, 134, 13"
"2346";"3195, 13, 281, 1903, 3245"
"4553";"2286, 90, 13"
"1287";"134, 13"
"946";"945"
"1260";"2671, 281, 13"
"2382";"510, 435"
"2696";"216, 217"
"2041";"167, 18"
"1700";"658, 663, 94"
"2355";"3967, 281, 13"
"2014";"4117, 90, 13"
"1359";"3962, 90, 13"
"300";"299, 160"
"1673";"1475, 90, 13"
"955";""
"1709";"4152, 90, 13"
"1054";"1023, 1027, 440"
"2023";"2433, 281, 13"
"1368";"189, 87"
"3575";"207, 199"
"1682";"456, 457, 81"
"1027";"440"
"623";"575"
"3234";"167, 18"
"686";"528"
"2893";"653, 673, 94"
"1377";"134, 13"
"722";""
"3647";"515, 18"
"381";""
"1036";"1085, 1072, 33, 1050"
"695";""
"40";""
"3243";"172, 175"
"354";""
"2902";"456, 457, 81"
"1906";"2996, 3953, 281, 13"
"2561";"189, 87"
"4131";"90, 13"
"3656";"90, 13"
"390";""
"1108";"1127, 789"
"704";"724, 725"
"49";"50"
"2597";"653, 673, 94"
"2660";"189, 87"
"3315";"90, 13"
"2256";"90, 13"
"1915";"167, 18"
"2229";"1117"
"1574";"4238, 134, 13"
"3010";"189, 87"
"3324";"207, 199"
"2669";"209, 210"
"2328";"281, 13"
"2983";"134, 13"
"1924";"3378, 90, 13"
"2642";"90, 13"
"1583";"167, 18"
"471";"94"
"130";"128, 131"
"2678";"1848, 90, 13"
"2337";"90, 13"
"2992";"281, 1260, 13, 2671"
"2651";"3923, 1526, 3205, 13, 281"
"1996";"189, 87"
"4203";"90, 13"
"2310";"529, 531, 94"
"937";"440, 989, 970, 921, 758, 923"
"1655";"207, 199"
"3862";"209, 210"
"1691";"515, 18"
"4616";"90, 13"
"2005";"167, 18"
"1350";"134, 13"
"4212";"134, 13"
"1664";"189, 87"
"3871";"1092, 1157, 94"
"1323";"209, 210"
"982";""
"3530";"21, 729, 1022, 768, 1081, 1049, 235"
"3189";"2062, 4371, 13, 281, 1866"
"4284";"2662, 515, 18"
"1018";"1075, 421"
"1736";"4492, 1544, 18, 515"
"4598";"4433, 90, 13"
"3943";"216, 217"
"677";"675"
"1332";"281, 13"
"3225";"2706, 90, 13"
"4257";"189, 87"
"3539";"742, 732, 94"
"336";"348, 158"
"2884";"828, 836, 94"
"2543";"888, 886, 94"
"3198";"4054, 90, 13"
"2857";"134, 13"
"4293";"207, 199"
"3638";"167, 18"
"1745";"167, 18"
"3952";"209, 210"
"3297";"1019, 140"
"345";"78"
"3611";"216, 217"
"2956";"134, 13"
"2552";"167, 18"
"4";"5, 6"
"3270";"4457, 134, 13"
"2211";"281, 13"
"1099";"463"
"3961";"3570, 134, 13"
"3306";"172, 175"
"3620";"134, 13"
"2965";"209, 210"
"13";""
"2624";"2275, 90, 13"
"3279";"90, 13"
"2283";"172, 175"
"2220";"3338, 90, 13"
"2938";"4011, 4295, 13, 2338, 281"
"4490";"90, 13"
